Ref,Val,Package,PosX,PosY,Rot,Side
"C1_C2","DRIVER CAPS","CAPS_DRIVER",53.000000,-68.500000,-90.000000,top
"J4","BATTERY","JST_PH_BATTERY",34.500000,-76.500000,0.000000,top
"J5","MOTOR LEFT","JST_PH_MOTOR",51.500000,-54.000000,90.000000,top
"J6","MOTOR RIGHT","JST_PH_MOTOR",21.500000,-52.040000,-90.000000,top
"J8","ESP32 LEFT ALL PINS","ESP32_LEFT_ALL_PINS_BREAKOUT_1X08_UNPOPULATED",26.360000,-19.010000,0.000000,top
"J9","ESP32 RIGHT SIGNALS","ESP32_RIGHT_SIGNAL_BREAKOUT_1X08_UNPOPULATED",46.680000,-19.010000,0.000000,top
"J10","3V3 GND VLIPO","ACCESSORY_POWER_1X03_UNPOPULATED",42.420000,-76.500000,0.000000,top
"SW1","SW EXT VBAT_RAW/VBAT_SW","SWITCH_EXT_1X02",22.200000,-76.500000,0.000000,top
"U1","ESP32-C3 SUPERMINI","ESP32_C3_MACHINED_SOCKET_VERIFY",28.900000,-19.010000,0.000000,top
"U2","DRV8833","DRV8833_MACHINED_SOCKET_VERIFY",43.020000,-44.470000,-90.000000,top
"U3","EXT REG LOGIC VIN GND VOUT","REGULATOR_EXT_1X03",26.960000,-68.500000,0.000000,top
