"Refs","Value","Footprint","Qty","DNP"
"C1_C2","100nF","CAPS_DRIVER","1",""
"C2","100uF/10V","","1",""
"J2","ESP32-C3_RIGHT","","1",""
"J4","BATTERY_2S_7V4","JST_PH_BATTERY","1",""
"J5","MOTOR_LEFT","JST_PH_MOTOR","1",""
"J6","MOTOR_RIGHT","JST_PH_MOTOR","1",""
"J9","ESP32_RIGHT_BREAKOUT","","1",""
"J10","ACCESSORY_POWER","ACCESSORY_POWER_1X03_UNPOPULATED","1",""
"JP1","ESP32_LEFT_ALL_PINS_BREAKOUT","ACCESSORY_POWER_1X03_UNPOPULATED","1",""
"SW1","MAIN_POWER","SWITCH_EXT_1X02","1",""
"U1","ESP32-C3_LEFT","Roboktober_Custom:ESP32_C3_SUPERMINI","1",""
"U2","DRV8833_BREAKOUT","DRV8833_MACHINED_SOCKET_VERIFY","1",""
"U3","3V3_BUCK_BOOST","REGULATOR_EXT_1X03","1",""
