Ref,Val,Package,PosX,PosY,Rot,Side
"C1_C2","DRIVER CAPS","CAPS_DRIVER",33.000000,-39.500000,0.000000,bottom
"J4","BATTERY","JST_PH_BATTERY",77.000000,-66.000000,-90.000000,bottom
"J4_ALT","BATTERY_ALT_2P_2.54","PinHeader_1x02_P2.54mm_Vertical",82.000000,-66.000000,-90.000000,bottom
"J5","MOTOR LEFT","JST_PH_MOTOR",71.500000,-77.000000,180.000000,bottom
"J6","MOTOR RIGHT","JST_PH_MOTOR",45.000000,-77.000000,180.000000,bottom
"J10","5V(3.7-5V) GND VLIPO","ACCESSORY_POWER_1X03_UNPOPULATED",41.000000,-71.080000,90.000000,bottom
"JP1","ESP 5V SEL: REG-ESP","ACCESSORY_POWER_1X03_UNPOPULATED",36.500000,-46.420000,-90.000000,bottom
"SW1","SW EXT VBAT_RAW/VBAT_SW","SWITCH_EXT_1X02",81.000000,-45.500000,90.000000,bottom
"U2","DRV8833","DRV8833_MACHINED_SOCKET_VERIFY",51.080000,-77.120000,90.000000,bottom
"U3","EXT REG LOGIC VIN GND VOUT","REGULATOR_EXT_1X03",60.090000,-83.300000,180.000000,bottom
"U1","ESP32-C3 SUPERMINI","ESP32_C3_SUPERMINI",50.140400,-35.500000,0.000000,top
